0,Chris Robinson,VAN,23,195.58,90.7184,Western Kentucky,USA,1996,2,51,41,4.6,1.7,1.6,-11.4,0.039,0.088,0.155,0.486,0.156,1996-97
1,Matt Fish,MIA,27,210.82,106.59412,North Carolina-Wilmington,USA,1992,2,50,6,0.3,0.8,0,-15.1,0.143,0.267,0.265,0.333,0,1996-97
2,Matt Bullard,HOU,30,208.28,106.59412,Iowa,USA,1900,1900,1900,71,4.5,1.6,0.9,0.9,0.016,0.115,0.151,0.535,0.099,1996-97
3,Marty Conlon,BOS,29,210.82,111.13004,Providence,USA,1900,1900,1900,74,7.8,4.4,1.4,-9,0.083,0.152,0.167,0.542,0.101,1996-97
4,Martin Muursepp,DAL,22,205.74,106.59412,None,USA,1996,1,25,42,3.7,1.6,0.5,-14.5,0.109,0.118,0.233,0.482,0.114,1996-97
5,Martin Lewis,TOR,22,198.12,102.0582,Seward County Community College,USA,1995,2,50,9,1.6,0.7,0.4,-3.5,0.087,0.045,0.135,0.47,0.125,1996-97
6,Mark West,CLE,36,208.28,111.583632,Old Dominion,USA,1983,2,30,70,3.2,2.7,0.3,3.5,0.092,0.146,0.137,0.555,0.034,1996-97
7,Mark Strickland,MIA,26,208.28,99.79024,Temple,USA,1900,1900,1900,31,2,1.2,0,-17.1,0.109,0.152,0.232,0.448,0.013,1996-97
8,Mark Price,GSW,33,182.88,81.64656,Georgia Tech,USA,1986,2,25,70,11.3,2.6,4.9,-3.1,0.023,0.088,0.192,0.597,0.289,1996-97
9,Mark Jackson,IND,32,190.5,83.91452,St. John's (NY),USA,1987,1,18,82,9.9,4.8,11.4,-2,0.035,0.116,0.155,0.525,0.464,1996-97
10,Mark Hendrickson,PHI,23,205.74,99.79024,Washington State,USA,1996,2,31,29,2.9,3.2,0.1,-5.1,0.113,0.201,0.133,0.481,0.014,1996-97
